link,title,review,price,installment,cluster,date
https://www.magazineluiza.com.br/lava-e-seca-lg-12kg-smart-vc4-cv5012pc4-com-inteligencia-artificial-agua-quente-e-fria-prata/p/238058200/ed/ela1/,Lava e Seca LG 12kg Smart VC4 CV5012PC4 com Inteligência Artificial Água Quente e Fria Prata,4.8,4556.07,"{'total_amount': 4899.0, 'amount_per_installment': 489.9}",Lava e Seca LG 12kg Smart VC4 CV5012PC4 com Inteligência Artificial Água Quente e Fria Prata,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-105kg-midea-healthguard-titanium-conectada/p/efec82812d/ed/ela1/,"Lava e Seca 10,5kg Midea HealthGuard Titanium Conectada",4.5,3199.0,"{'total_amount': 3199.0, 'amount_per_installment': 319.9}","Lava e Seca 10,5kg Midea HealthGuard Titanium Conectada",2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-midea-11kg-smart-wi-fi-healthguard-14-programas-titanium-mf200d110wb/p/234659200/ed/ela1/,Lava e Seca Midea 11Kg Smart Wi-Fi HealthGuard 14 Programas Titanium MF200D110WB,4.7,3229.05,"{'total_amount': 3399.0, 'amount_per_installment': 339.9}",Lava e Seca Midea 11Kg Smart Wi-Fi HealthGuard 14 Programas Titanium MF200D110WB,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-digital-inverter-samsung-ecobubble-wd10m-branca-10-1kg/p/ha0edb73ge/ed/ela1/,Lava e Seca Digital Inverter Samsung Ecobubble WD10M Branca 10.1kg,4.4,3239.1,"{'total_amount': 3239.1, 'amount_per_installment': 323.91}",Lava e Seca Digital Inverter Samsung Ecobubble WD10M Branca 10.1kg,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-samsung-11kg-inverter-3-em-1-agua-quente-e-fria-wd11a4453bx/p/234654600/ed/ela1/,Lava e Seca Samsung 11kg Inverter,4.7,4091.07,"{'total_amount': 4399.0, 'amount_per_installment': 439.9}",Lava e Seca Samsung 11kg Inverter,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-smart-samsung-wd13t-13kg-digital-inverter-3-em-1-agua-quente-e-fria/p/237247300/ed/ela1/,Lava e Seca Smart Samsung WD13T 13kg Digital Inverter 3 em 1 Água Quente e Fria,4.7,4605.06,"{'total_amount': 4899.0, 'amount_per_installment': 489.9}",Lava e Seca Smart Samsung WD13T 13kg Digital Inverter 3 em 1 Água Quente e Fria,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-lg-14kg-smart-smart-vc4-cv5014wc4-com-inteligencia-artificial-agua-quente-e-fria-branca/p/238058000/ed/ela1/,Lava e Seca LG 14kg Smart Smart VC4 CV5014WC4 com,4.6,4749.05,"{'total_amount': 4999.0, 'amount_per_installment': 499.9}",Lava e Seca LG 14kg Smart Smart VC4 CV5014WC4 com,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-smart-midea-11kg-inverter-branca-mf200d110wb/p/234659100/ed/ela1/,Lava e Seca Smart Midea 11kg Inverter Branca MF200D110WB,4.6,3039.05,"{'total_amount': 3199.0, 'amount_per_installment': 319.9}",Lava e Seca Smart Midea 11kg Inverter Branca MF200D110WB,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-lg-12kg-smart-vc4-cv5012pc4-com-inteligencia-artificial-agua-quente-e-fria-prata/p/238058300/ed/ela1/,Lava e Seca LG 12kg Smart VC4 CV5012PC4 com Inteligência Artificial Água Quente e Fria Prata,4.8,4556.07,"{'total_amount': 4899.0, 'amount_per_installment': 489.9}",Lava e Seca LG 12kg Smart VC4 CV5012PC4 com Inteligência Artificial Água Quente e Fria Prata,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/lava-e-seca-tcl-11kg-c311wds1-inverter-agua-quente-e-fria-cinza/p/238150000/ed/ela1/,Lava e Seca TCL 11kg C311WDS1 Inverter,4.3,3198.99,"{'total_amount': 3367.36, 'amount_per_installment': 336.74}",Lava e Seca TCL 11kg C311WDS1 Inverter,2024-11-25T22:03:51.093240
